trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.9969595419812568}",25,0,-85.8684628771334,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9968811225824579}",30,0,-62.69529408324222,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-96.45349856139781,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9967212932211577}",25,7,-95.026917322384,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
81,False,"{'a': 0.5, 'e': 0.9966398834184859}",20,0,-110.88064769281551,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9965574769760137}",25,0,-100.57189479507844,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9964740739761475}",25,0,-50.39462288391768,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.9963896745022904}",25,12,-23.864145017299165,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.996304278638842}",30,0,-207.36469675238354,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.9962178864711978}",30,0,-75.86445040224565,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,-4.526711752097594,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9960421135698875}",25,0,-68.40516425981438,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-116.01909178518747,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9958623565014509}",20,0,-169.09131870157307,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.9957709841286342}",25,0,-176.37342264977835,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-86.55562556984574,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,8,-67.27321221056191,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-140.51859521796843,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9953955378570153}",25,0,-156.4979506605911,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9952991875633305}",20,0,-83.40532916235188,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.995201841970541}",30,0,-104.38008809744953,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9951035011759926}",20,0,-148.2242246368375,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,18,-3.159745808577153,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.9949038343759766}",30,0,-107.238666996326,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.994802508570176}",20,0,-80.94798258744257,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9947001879619498}",20,0,-91.47013889660808,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-54.933637674617,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-150.89489100288995,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.9943872583508965}",25,0,-96.51052630148548,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9942809595661201}",20,0,-49.30317209333297,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
